,annual_return,annual_vol,sharpe_ratio,max_drawdown,positive_weeks
LALPATHLAB.NS,0.05623465168060304,0.33052795104236415,-0.020507481420587465,-0.5562499165635926,0.49808429118773945
CHAMBLFERT.NS,0.2247917909465531,0.3757889298685881,0.4305045481449849,-0.4386447367581129,0.4904214559386973
SUZLON.NS,0.5828406789681232,0.5627612530898909,0.9237091726169374,-0.520790855112077,0.4521072796934866
CGCL.NS,0.061123281349942764,0.38120510381944483,-0.004957085114320577,-0.6283359679454207,0.4904214559386973
OBEROIRLTY.NS,0.256222945892786,0.3534901196095811,0.5465782144366333,-0.3719107128520045,0.5172413793103449
AARTIIND.NS,-0.04288978645026517,0.33435943590693185,-0.31673319958385177,-0.6778074401313307,0.4942528735632184
NBCC.NS,0.31195295396503414,0.4851162993029337,0.513155313122128,-0.47610525686761085,0.5057471264367817
CASTROLIND.NS,0.16847025050415784,0.3032117546436731,0.3478008401504733,-0.3432594168637205,0.44061302681992337
BRIGADE.NS,0.25634848558743506,0.3659439445242264,0.5283200910544007,-0.5436149532335077,0.4789272030651341
HSCL.NS,0.5715409467076435,0.47075031343900675,1.080249942898747,-0.38869012668439307,0.5172413793103449
GALLANTT.NS,0.6224452741111001,0.5101264280525103,1.096654272061994,-0.38103652683347955,0.5363984674329502
NUVOCO.NS,-0.07772708634344504,0.2912099032784065,-0.48329411965252417,-0.5162699481095039,0.4521072796934866
BLS.NS,0.6135346344183787,0.5167778878583277,1.0652965226594844,-0.5193066170249754,0.5517241379310345
JSWENERGY.NS,0.4414749004247393,0.44848441922070287,0.8438686757207186,-0.47791453697867936,0.5210727969348659
SIEMENS.NS,0.24862445547899586,0.28824483995470007,0.6439369669638387,-0.4116092676905264,0.524904214559387
TVSMOTOR.NS,0.39773857205116236,0.29426079918037457,1.1375134760998005,-0.245516430254891,0.5632183908045977
TECHM.NS,0.1492634431489486,0.2820468199809233,0.3058020496710196,-0.4610314390002187,0.5440613026819924
IRCON.NS,0.33950460028649887,0.45664652338139333,0.6054828814715021,-0.6293342081864226,0.45977011494252873
SCHAEFFLER.NS,0.3207570738609573,0.3715222004278082,0.6937516144891893,-0.3924279103711833,0.5057471264367817
NLCINDIA.NS,0.45874367948921835,0.4277364175966419,0.9251742795648644,-0.32407549328057295,0.5172413793103449
M&MFIN.NS,0.14494534708491838,0.3501415443629514,0.23399793857194884,-0.30226705749345484,0.5325670498084292
ZYDUSWELL.NS,0.06031957129672995,0.27011723706002755,-0.009971137822132678,-0.417556687171056,0.4904214559386973
BALRAMCHIN.NS,0.23700474834244284,0.36289464168325464,0.47945541449663764,-0.3933079129570912,0.5325670498084292
RVNL.NS,0.610671462938696,0.571559572201628,0.958182737336626,-0.5789897457792776,0.4827586206896552
CRISIL.NS,0.20784803038013458,0.3094434123039368,0.46805030298168926,-0.3808799588671752,0.524904214559387
SAMMAANCAP.NS,0.083589996532209,0.482991156723587,0.042603366024765436,-0.6798329568745409,0.4674329501915709
KPITTECH.NS,0.3662245479788621,0.41682180080090836,0.7274370004175946,-0.6420465062271947,0.5134099616858238
EIDPARRY.NS,0.24462186209492381,0.3272572997885043,0.5549422876638733,-0.34496928126769855,0.5363984674329502
TEGA.NS,0.2637071401564143,0.3397832601874594,0.5906535611851552,-0.4173502461916613,0.4521072796934866
INDIACEM.NS,0.23862381132307942,0.4224251256432517,0.41572068792091194,-0.398037300474939,0.5210727969348659
MARUTI.NS,0.15739791849509746,0.2414844964455591,0.3908531288292733,-0.2695165094339621,0.524904214559387
TORNTPOWER.NS,0.3101247909925024,0.34985181395727405,0.7063328919228984,-0.37288781361686707,0.524904214559387
ITI.NS,0.29433902557671565,0.5656513612163565,0.40895522214194113,-0.4722161523109535,0.46360153256704983
HINDUNILVR.NS,0.008495880987105669,0.20936094286646023,-0.2603975018552382,-0.3008727538306407,0.4789272030651341
BBTC.NS,0.11106453120192829,0.3696385744464402,0.12999612872736496,-0.50993017897294,0.45977011494252873
GPIL.NS,0.4121956059045855,0.5334851138355923,0.6545312124990357,-0.5585932479280082,0.5517241379310345
MPHASIS.NS,0.12109438171821127,0.32295196730123776,0.17984542626565225,-0.4777240856123187,0.5555555555555556
DALBHARAT.NS,0.08312359857688208,0.32025717233702206,0.06279531832039503,-0.46158954186935164,0.524904214559387
TEJASNET.NS,0.33207115848972607,0.5606054957268296,0.4799421572656912,-0.7879626876338168,0.47509578544061304
BHEL.NS,0.41597947457065737,0.44663970739386805,0.7902712661501131,-0.4497682750529609,0.524904214559387
FACT.NS,0.5732334305308406,0.6657709629550749,0.7663603722977029,-0.4716418154901556,0.45977011494252873
PRESTIGE.NS,0.34267642232816364,0.3989681879456817,0.7009668522008823,-0.4332761807210129,0.5134099616858238
MRPL.NS,0.4390446881140366,0.5248889551818695,0.7164024636185299,-0.5751193841579472,0.5019157088122606
INDIAMART.NS,-0.07446223727883099,0.32543377073227564,-0.4224367510018397,-0.5950217155353132,0.5057471264367817
